============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.51 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .6013581E+07   1513000E+01  .2356E+06  .4387E+06   .9895195  .1263148  .0699691
T    2  1 .6151711E+07   1513000E+01  .1651E+05  .7057E+06   .9316121 -.3573681 -.0662348
T    3  1 .5894747E+07   1513000E+01 -.2540E+06  .5174E+06   .9983427 -.0207619  .0536729
T    4  1 .6311401E+07   1513000E+01  .3612E+06 -.1871E+06   .9999080  .0099959 -.0091705
T    5  1 .6240177E+07   1513000E+01  .3351E+06  .1277E+06   .9917968  .1063385  .0709317
T    6  1 .6136679E+07   1513000E+01  .2294E+06  .1449E+06   .9993287  .0235463  .0280679
T    7  1 .6095982E+07   1513000E+01  .2844E+06 -.6323E+05   .9994174  .0274629 -.0202668
T    8  1 .5913240E+07   1513000E+01  .4006E+06  .4249E+06   .9943688  .0435889  .0965953
T    9  1 .5862939E+07   1513000E+01 -.7341E+06 -.1725E+06   .9861566 -.1620008 -.0353683
T   10  1 .5980222E+07   1513000E+01  .6024E+06 -.2396E+05   .9960783  .0832035  .0300861
T   11  1 .5619089E+07   1513000E+01 -.8350E+06 -.5895E+06   .9784693 -.1552843 -.1359580
T   12  1 .6216717E+07   1513000E+01 -.2214E+06  .4842E+06   .9970831  .0347730  .0679415
T   13  1 .5858713E+07   1513000E+01 -.2483E+06 -.5739E+06   .9962020  .0492097 -.0718327
T   14  1 .6752177E+07   1513000E+01 -.6558E+06  .5212E+06   .9952729 -.0816763  .0525434
T   15  1 .5689565E+07   1513000E+01  .5997E+06 -.2698E+06   .9973127  .0264722 -.0683130
T   16  1 .5792322E+07   1513000E+01 -.1629E+06 -.3412E+06   .9972294 -.0292603 -.0683917
T   17  1 .6048064E+07   1513000E+01  .7391E+05  .2520E+06   .9999307  .0039364 -.0110957
T   18  1 .5839734E+07   1513000E+01 -.1584E+06 -.1056E+06   .9995129 -.0269181  .0157889
T   19  1 .5887597E+07   1513000E+01  .6623E+06 -.4870E+06   .9976331  .0240584 -.0644164
T   20  1 .5759395E+07   1513000E+01 -.3728E+06  .1192E+06   .9998718 -.0044591  .0153766
T   21  1 .5588398E+07   1513000E+01  .2896E+06 -.4703E+06   .9924025 -.0177141 -.1217521
T   22  1 .6467783E+07   1513000E+01 -.7212E+05  .3757E+06   .9949614 -.0151443  .0991084
T   23  1 .6177216E+07   1513000E+01 -.7866E+06 -.1180E+06   .9996395 -.0147485 -.0224365
T   24  1 .6425777E+07   1513000E+01 -.1240E+06  .7939E+06   .9943048 -.0313796  .1018497
T   25  1 .5812745E+07   1513000E+01  .5608E+06 -.9185E+05   .9942789  .1066325 -.0062389
T   26  1 .5836116E+07   1513000E+01  .8801E+05 -.2567E+06   .9928120 -.0781365 -.0906583
T   27  1 .5820015E+07   1513000E+01 -.1363E+07 -.3308E+05   .9791478 -.1995866  .0378795
T   28  1 .6105607E+07   1513000E+01 -.3776E+06  .3499E+06   .9937805 -.0844653  .0725664
T   29  1 .5974775E+07   1513000E+01 -.5849E+05 -.3196E+06   .9958500 -.0511594 -.0752692
T   30  1 .6120731E+07   1513000E+01 -.2610E+06  .3259E+05   .9975633 -.0495379  .0491260
T   31  1 .5721760E+07   1513000E+01  .2374E+06  .1422E+06   .9989915  .0300640  .0333479
T   32  1 .5366606E+07   1513000E+01  .1258E+06 -.8347E+05   .9968737  .0786412  .0076457
T   33  1 .5699434E+07   1513000E+01  .2931E+06 -.2576E+06   .9939780  .1077788 -.0197849
T   34  1 .6089925E+07   1513000E+01 -.4454E+06  .1808E+05   .9975168 -.0694364  .0117784
T   35  1 .6020723E+07   1513000E+01 -.6279E+05  .3359E+06   .9997520 -.0102662  .0197626
T   36  1 .5791724E+07   1513000E+01 -.1688E+06 -.2730E+06   .9994825 -.0209146 -.0244411
T   37  1 .6452560E+07   1513000E+01 -.3128E+06  .1035E+06   .9967133 -.0699952  .0407822
T   38  1 .6754758E+07   1513000E+01 -.8076E+05 -.2307E+06   .9970139 -.0536570 -.0555356
T   39  1 .5808631E+07   1513000E+01 -.1136E+07  .1476E+06   .9937965 -.1102366 -.0147133
T   40  1 .6278350E+07   1513000E+01 -.3747E+06  .6730E+05   .9997241 -.0009063 -.0234710
T   41  1 .6538595E+07   1513000E+01  .3063E+06 -.5095E+05   .9988025  .0318602  .0371293
T   42  1 .6146951E+07   1513000E+01 -.1553E+05 -.3309E+06   .9963275 -.0202535 -.0831948
