============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.48 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .6372689E+07   1488000E+01  .2021E+06  .4221E+06   .9888005  .1287596  .0754627
T    2  1 .6488094E+07   1488000E+01  .6557E+06  .7404E+05   .9947650  .1021724 -.0018438
T    3  1 .6379751E+07   1488000E+01  .2569E+06 -.4745E+06   .9983808  .0058236 -.0565855
T    4  1 .6649313E+07   1488000E+01 -.3613E+06  .5091E+05   .9990734 -.0341781  .0261575
T    5  1 .6426477E+07   1488000E+01 -.1299E+06 -.3522E+06   .9875224 -.0090185 -.1572200
T    6  1 .6384865E+07   1488000E+01  .1751E+06  .1933E+06   .9997105  .0238328 -.0032903
T    7  1 .6558231E+07   1488000E+01  .4103E+05  .3548E+06   .9996237  .0109716  .0251404
T    8  1 .6193245E+07   1488000E+01 -.1890E+06  .2509E+06   .9907161 -.0577551  .1230689
T    9  1 .6067763E+07   1488000E+01 -.3689E+06 -.1626E+06   .9864709 -.1625259 -.0214592
T   10  1 .6359356E+07   1488000E+01 -.1453E+07 -.1117E+07   .9883313 -.0868986 -.1250998
T   11  1 .6338863E+07   1488000E+01 -.1553E+06 -.4652E+06   .9953351 -.0543368 -.0797215
T   12  1 .6986232E+07   1488000E+01 -.1676E+06  .4635E+06   .9956768 -.0040888  .0927950
T   13  1 .6774839E+07   1488000E+01  .1254E+06 -.6306E+06   .9981697  .0282829 -.0534549
T   14  1 .6213417E+07   1488000E+01  .2879E+05  .1608E+06   .9805983  .0537169  .1885243
T   15  1 .6297307E+07   1488000E+01 -.2788E+06 -.2232E+06   .9985003 -.0364834 -.0408189
T   16  1 .6074481E+07   1488000E+01  .1265E+06  .4640E+06   .9978862  .0268171  .0591950
T   17  1 .6496015E+07   1488000E+01  .1036E+06  .8787E+06   .9872395  .0405383  .1539959
T   18  1 .6450556E+07   1488000E+01  .4774E+06  .3510E+06   .9948652  .0858383  .0536198
T   19  1 .5979150E+07   1488000E+01 -.1307E+07 -.2201E+07   .9486146 -.1234869 -.2913439
T   20  1 .6768474E+07   1488000E+01 -.3489E+06  .2203E+06   .9905661 -.1170375  .0712821
T   21  1 .6645268E+07   1488000E+01 -.1453E+05 -.9155E+05   .9986064 -.0508337 -.0141819
T   22  1 .6161692E+07   1488000E+01  .3069E+05  .2012E+06   .9999733  .0002834  .0073024
T   23  1 .6575484E+07   1488000E+01  .7472E+06  .5874E+05   .9842551  .1657670  .0613450
T   24  1 .6580482E+07   1488000E+01  .1096E+06  .8549E+06   .9998450  .0000233  .0176057
T   25  1 .6346901E+07   1488000E+01 -.1689E+06 -.4714E+06   .9951237 -.0153485 -.0974336
T   26  1 .6051597E+07   1488000E+01  .1639E+06 -.1791E+06   .9930509  .0503558 -.1063684
T   27  1 .6471435E+07   1488000E+01  .4503E+05 -.3281E+06   .9990678 -.0041183 -.0429726
T   28  1 .6370837E+07   1488000E+01 -.1985E+06 -.4038E+06   .9992357  .0104731 -.0376613
T   29  1 .6243841E+07   1488000E+01  .8238E+06  .1271E+06   .9915741  .1245892 -.0354724
T   30  1 .5944808E+07   1488000E+01 -.5161E+06  .1476E+06   .9970821 -.0577054  .0499734
T   31  1 .6917508E+07   1488000E+01 -.1219E+05  .2960E+06   .9967614  .0483637  .0642462
T   32  1 .6287513E+07   1488000E+01  .3535E+06  .7898E+04   .9976030  .0454013 -.0522200
T   33  1 .6389549E+07   1488000E+01 -.1259E+06 -.7583E+06   .9961576 -.0373225 -.0792275
T   34  1 .6480065E+07   1488000E+01  .6136E+06  .5400E+06   .9999249  .0092813 -.0079977
T   35  1 .6101638E+07   1488000E+01 -.3277E+06  .3647E+06   .9968180 -.0251509  .0756394
T   36  1 .6683707E+07   1488000E+01 -.5644E+05 -.1205E+06   .9998468  .0166908 -.0052793
T   37  1 .6343848E+07   1488000E+01  .6767E+06 -.8317E+06   .9841649  .0945710 -.1499193
T   38  1 .6399790E+07   1488000E+01  .7351E+05  .1141E+06   .9998985  .0123238  .0071552
T   39  1 .6627413E+07   1488000E+01 -.1481E+06  .4495E+05   .9974483 -.0527709  .0480839
T   40  1 .6525352E+07   1488000E+01  .1130E+06 -.3242E+06   .9989197 -.0408276  .0221931
T   41  1 .5928285E+07   1488000E+01  .2365E+06  .4341E+06   .9724931  .1733547  .1555809
T   42  1 .6603771E+07   1488000E+01 -.7954E+05  .3933E+06   .9992725  .0305878  .0227774
T   43  1 .5841492E+07   1488000E+01  .4059E+06 -.2072E+06   .9986562  .0468948 -.0220606
T   44  1 .6373935E+07   1488000E+01 -.3043E+06 -.2838E+05   .9993825 -.0270244  .0224551
T   45  1 .7023718E+07   1488000E+01 -.5221E+04  .2241E+06   .9991232 -.0151869  .0390162
T   46  1 .6540648E+07   1488000E+01  .4823E+06 -.2940E+06   .9764261  .1541724 -.1510729
T   47  1 .6411839E+07   1488000E+01 -.3329E+06 -.2653E+06   .9991430 -.0281835 -.0303132
T   48  1 .6414854E+07   1488000E+01  .2942E+06  .1878E+06   .9952081  .0698909  .0683817
